feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,label
0.93288577,-3.198413,-1.3234634,0.1017686,0.47752935,-1.1624287,-0.71210206,1.370541,-0.48403013,2.2429204,-0.0019198532,0.40803617,1
1.795635,1.4095905,-1.1147548,0.47912106,0.4048551,-1.6052712,-0.024297385,0.3645345,0.5560753,0.17726137,0.29123142,1.4736114,1
-0.73992383,-1.563388,0.17956114,0.87450737,-1.4944056,0.69919676,2.052685,0.17196034,-0.33732516,-0.14200321,0.6152568,-1.7306716,0
-0.35089698,0.973951,1.1287142,-0.9266473,0.5595404,0.56618774,-0.5495526,-1.1227684,-1.1841283,0.08650554,0.32700986,-0.7925258,1
-0.9854075,-0.9291032,0.39080173,1.8483745,-0.4588405,-0.42477372,0.31407723,-0.2457615,0.95205367,-2.2517772,-0.82670504,-0.78241634,0
0.5559934,-1.4120911,-0.052291546,-0.057078235,-0.28436384,0.18532565,0.61917114,-0.3392585,1.0638515,-1.1419382,0.0063390625,2.5976737,0
-2.1315944,1.025949,-0.031643387,1.196584,-0.57094365,0.8137637,1.0684716,0.23287801,0.2344009,0.27034324,-0.86334527,-0.14752868,0
-0.72984093,2.1318166,2.1289954,1.0092206,0.2552134,1.3506252,0.0120531805,0.20279728,-1.0934714,0.3969913,0.060385928,-1.3026521,1
0.5376807,0.22903268,0.2965799,-0.37798247,0.22555985,0.9476496,-1.1111048,-1.1719716,-1.0933238,0.28891668,1.2449474,-0.43133944,1
-0.21050885,-0.11075416,0.3777522,-1.9128844,0.22877003,0.9674663,0.29293382,-1.5888976,-0.12380929,0.7420289,-1.8779888,-1.074766,1
-1.4268608,-0.5442625,-2.1577284,-1.1170453,2.1292472,-1.2874225,-1.0967855,1.8369136,2.9050672,-1.1715666,-0.36824897,0.34155557,0
-0.07886371,-0.9834523,-0.8116383,1.7126427,-1.040586,-2.4127803,1.610937,2.5493279,-0.40526927,-1.936838,-0.31048396,-0.28622296,0
-0.9783278,-0.80213356,0.13230918,0.7154441,0.4127326,0.430821,2.1416476,-0.40641502,-0.51224273,-0.81377274,0.61597943,1.1289723,0
-2.2328699,-0.78488505,-0.23724693,0.9362223,0.7112266,0.79334724,-0.34872508,-0.4623518,0.8579759,-0.19130433,-1.2756863,-1.1332872,0
1.4265436,0.72009546,0.8119716,1.5094948,0.46855277,0.657888,2.7107456,-0.21380456,-0.79788274,0.4277964,0.43899104,-0.5267154,1
-0.43515804,-0.41084167,2.857424,1.4517419,-0.41174942,-0.3635833,-1.149204,-1.9081304,-0.116880186,-0.99785197,-0.084850535,-1.6002059,1
-1.0256193,-0.21141689,-0.75746465,-1.3153512,0.053481627,-2.084402,0.61427045,0.75385505,-0.2511026,-2.4807086,-0.99641865,1.2329019,1
0.36404333,-0.26355398,-2.2517083,-1.7280092,-1.8106186,-2.2497838,-1.195359,1.3249557,-0.044436168,1.2905638,0.41098258,0.7825588,1
-0.54733765,1.1507231,-0.95581394,-1.1445994,1.303565,0.84022015,1.4873983,-0.2716744,-1.1522489,-0.2404372,0.1020313,0.078988716,1
-0.9331873,1.0114443,-1.5070456,-0.544727,0.6433268,-0.39460513,-0.0051218667,-0.1634429,0.33757454,1.4074819,0.090584904,0.6439388,0
1.0987388,0.262329,0.67814374,-0.19188091,0.77776736,0.80700827,-1.619872,-2.2472684,1.0017453,1.1877251,-1.020623,-1.8598354,1
-1.7458396,0.03697248,-0.86940235,0.3624941,0.48074666,0.44653118,0.6653851,-0.098485485,-0.4232983,-0.07971821,-1.6873344,-1.4471124,0
1.837331,1.5499797,0.26777133,-1.5942059,-0.3191066,0.2172312,-0.20208324,-0.5778941,0.2528848,-0.50395775,-0.62806606,0.31145284,1
2.268795,-1.8696107,-1.6015457,-0.89317083,0.0145278815,0.6901044,0.4730872,-0.3842459,1.0190437,1.0301954,0.18405783,0.9626576,1
0.773122,1.0668142,-0.59971225,-1.3915876,1.1046792,-0.4123369,-1.4168421,0.4438127,0.46336982,-1.5307152,0.22948171,0.73558307,1
1.1055821,-0.1721677,1.3874052,0.80750775,1.4363017,0.5294134,1.3634287,-1.8807985,-0.31790656,-0.8670052,0.11922586,-0.5714492,1
2.7792735,1.4454902,1.371139,-0.32197782,-0.21722616,-0.20940882,0.3905306,1.4011862,0.18131422,-0.91144365,0.82442707,0.92115074,1
1.1629654,0.30901212,1.9317789,0.65751076,-0.2566541,0.75012183,1.9337935,1.9604846,-1.2279999,-0.9265331,1.4849188,-1.0582811,1
-0.3856093,-0.84046394,1.447825,0.17582726,1.6678876,-1.1037407,0.5872592,0.31940025,-0.8690472,0.17739612,1.2125188,-0.3237917,0
-0.83624876,0.0039655794,-0.70867306,1.2855471,-1.8314061,-0.33560738,-1.990812,-1.4950608,1.3638623,0.895185,-0.7194802,-1.5025035,0
0.3784355,-1.1093832,1.3672992,1.1667926,-0.796911,0.30197075,-0.7253915,-0.6284847,0.7744947,-0.038538262,1.739648,-0.48223248,1
0.17505531,0.82305235,-0.22360069,-0.3266447,-0.59974945,1.6200703,0.36369815,-0.21802913,1.1936185,-2.1706154,-2.0141027,0.79583865,1
1.995126,0.37264383,0.2031143,-1.464617,-0.22929266,-1.5927943,-0.912878,0.22678605,1.3190132,2.8092108,-0.5865851,1.4353001,1
1.7641898,-2.2228343,0.7959339,1.2114382,-1.1277808,-0.37980652,-0.7528919,-0.89434606,-0.326262,1.4274852,1.8373867,-0.33593923,1
-0.24528292,-1.4899842,0.3504512,1.2905648,-1.9510351,-1.3021795,0.1278404,-0.3162426,-0.016801158,-0.8530439,0.879398,0.7777919,0
-0.011884563,0.8873981,-0.5545057,-0.34594262,-0.22385882,0.24249679,0.17657335,-1.084388,0.09048978,0.22822833,2.517474,1.8768446,0
0.08515095,-0.6722227,-1.8708063,-0.6655791,0.31351385,0.83812654,1.9967309,2.9138625,0.41440943,-0.98953813,-2.1320462,0.26771146,0
-0.32692027,0.9832145,-0.30847982,0.9307771,-0.056783196,-0.17040758,-0.7794824,0.43030137,-0.85153717,0.6655852,1.085287,0.3665314,0
0.92438644,1.0819815,-1.0042691,-0.018959844,-0.30261976,-0.48279017,0.8705556,1.4792745,1.79437,1.3148079,-0.109734185,0.35272017,1
0.9396917,0.5525532,0.25255752,1.2382761,-0.62220746,2.0602982,-0.22543144,-1.2770164,0.06991958,-1.0762452,-0.75175583,0.3970333,1
0.61046845,0.7004463,-0.92639613,-0.3732337,2.0035095,0.8241996,0.16970654,-0.43905392,-0.39457285,-2.1291978,0.25764042,0.8454831,1
-1.9737344,-0.0036778525,-1.2065989,-0.93263465,0.71382016,0.24164452,-0.6139768,1.4511789,-0.44065243,0.032107674,0.26891345,-0.6196659,0
1.1939346,-0.011006841,0.42798817,0.053429045,0.066545814,-0.6974238,0.9895839,-1.1783036,0.78235036,-0.19065106,1.1712471,0.750869,0
-3.5145288,-0.9934955,2.020415,0.7848843,-0.5595723,0.4650802,-1.5609584,-0.29732338,0.09947747,-0.08610065,0.7908061,0.34464523,0
-1.5734975,-0.27072436,-0.18000332,1.7091876,0.83511126,0.35687107,1.4633029,-1.188763,-0.63975155,-0.92657596,-0.38980982,-1.3766861,0
-2.870356,-1.4136385,-1.3151561,0.14889534,1.112966,-0.24506065,-1.0308137,-0.05695454,1.0491736,-0.9759588,-0.9105749,0.558549,0
1.3449322,0.63036394,-0.25605494,0.87629294,1.5791855,0.49455667,0.9736635,1.24196,1.1300993,0.6140992,0.59834707,0.5196606,1
1.1773502,-1.9838614,0.46382803,0.021474777,-0.061324347,-1.0528985,-0.33445618,1.3000445,0.58265525,1.7323116,1.1774119,0.43908668,0
-0.89278615,-1.9268578,0.66722244,0.018511828,1.1145924,0.3833771,-0.13113753,0.3487759,1.9510126,2.0769806,0.06938113,0.1601906,0
0.45382106,1.5780189,-1.8807379,-1.8466387,-0.92288643,1.4611789,0.282587,0.76731724,-1.1401609,-1.1195359,0.44781372,0.058274332,1
0.21013309,-0.22078863,0.13006471,-0.35467327,-0.17961141,0.19677609,0.82052845,-0.39374116,0.5211673,-0.2658388,-0.11754217,0.82951903,0
1.4586014,0.4810856,0.67857593,-0.33601478,0.33658314,0.4249659,-1.9369669,0.6665727,-0.9820194,-1.4422991,-0.058411244,0.083981,1
1.2046596,1.195499,0.12907188,-1.2789892,-0.86819345,-1.6354632,0.23694861,-0.08344878,-0.43998772,-2.9556189,-1.2473174,1.1208407,1
-0.7725411,-0.03619413,0.8202267,-0.45239672,-0.6505636,-0.67421246,-0.7123371,-0.8795096,2.281633,0.29751107,0.88675904,-0.48907748,1
-0.7715361,0.19748469,-0.4136468,1.0516636,-1.0350782,-0.012084651,-0.21069002,-1.2158909,-1.563478,0.68574905,-0.3509524,-1.0222803,0
-1.2211403,-0.13799053,0.755312,0.95876145,-2.2912896,0.30436674,0.07203358,0.41389027,1.6162096,-2.0632384,-0.59110343,0.5909063,0
0.38384217,2.3321748,0.2302802,0.06379232,-0.23226933,0.075713284,0.0060166805,0.44832405,1.1653075,1.647394,0.30962008,0.58954686,1
0.118326016,-1.1383723,0.4978154,1.9789369,-0.9701495,-0.88769567,1.3357843,-0.191344,1.4038213,-0.4425357,1.4550456,0.13148582,0
-2.2279942,0.10247659,-0.7800008,0.4545703,-0.675114,0.40395403,0.56546044,1.8362259,-0.20294194,0.37604436,-1.4850554,1.1904136,1
0.6490348,1.3808383,2.1975944,0.16629757,-0.3717167,-0.8931306,0.011451292,-0.2992647,-1.0150679,2.0487556,1.7851684,1.1360487,1
1.7760339,-2.417055,0.08256145,-0.514651,-1.7520986,0.09418306,1.2487577,-1.0865679,0.33640093,-0.91582346,-0.671912,1.4773936,1
-0.41972548,0.5327395,-0.8992956,-0.8349438,-0.96511674,-0.72522604,2.1284697,-0.8213867,0.8384892,-0.90292716,0.93157303,0.38495097,0
0.4988029,0.37027043,2.1975613,0.54421335,0.011445439,0.24878731,0.04421238,-0.20291398,-1.0824271,-0.15105188,-0.7460983,-1.2503155,1
-0.14350617,1.2810318,-0.94217515,-0.75694376,-0.58487415,-0.04658727,0.2788643,-1.007893,0.7242827,0.06300237,-1.8919462,-1.9585915,1
0.6998424,0.8611719,0.5183479,0.094726816,-0.15368511,1.4540502,-0.45647115,1.1322346,-0.6443671,-0.060251847,-1.0719626,0.4550237,1
-0.66394746,-1.2901565,-1.2244812,1.0005928,0.7432542,0.54315424,-0.6655097,0.23216133,0.11668581,0.21868859,0.8714288,0.22359554,0
-1.3629411,-0.8653573,-1.0120968,0.20920911,1.0659802,0.15704857,-0.15863484,-1.0356537,-1.674683,-0.48630792,-0.053782552,1.7679299,0
1.0612218,0.84126467,-1.3867075,-0.47268465,0.9957014,1.0592238,1.0258368,0.038913205,-0.8450453,-1.0836989,0.3446049,0.37928003,1
0.52624017,-1.2956611,-0.06692963,0.32413715,0.31390822,-0.8333688,-1.5895675,-2.0729835,-1.1173841,-0.4586753,-0.29319158,1.9372312,0
-0.29177117,1.1147181,-0.7617705,-0.5911221,-0.4485642,0.45233396,-1.5657591,0.6374709,-0.53877133,1.1478126,-2.3942604,-0.7865658,0
-0.030651404,1.1446706,0.65590686,0.30174813,-0.00879469,0.5131998,-0.41884875,2.2297318,-1.5679305,1.2609373,1.3679074,-0.8521588,1
-1.4694523,0.047160745,-0.25757426,1.0404854,-0.42725265,0.1585397,0.6255904,-0.30934653,0.45677525,-0.6619259,-0.36305386,-0.3817379,0
-0.8421712,-0.55348825,-0.65197736,0.5025625,1.4714919,-2.5666585,-0.23685026,0.17651242,0.29599398,-0.3719146,-1.7567217,0.32799548,0
-2.600172,-0.4987184,-1.2432302,-0.86881304,-0.8781524,-0.33412343,0.91590255,-1.3263928,0.030631492,-0.48416942,-0.3276731,1.0027578,0
-2.151278,-1.2441363,0.039636604,0.8741878,0.27627417,-1.4127659,-2.3101034,0.054353584,-0.47177604,0.45938578,0.70195365,0.13824143,0
0.12891357,-0.38242093,-0.1108806,0.98128825,-1.4571558,-0.3196712,-0.47037265,-0.63887787,-0.27514225,1.4949414,-0.86583114,0.96827835,0
-0.37085038,1.3050194,1.0396264,0.09254562,1.2496653,0.63537115,0.74001426,0.63690627,0.3407914,-1.7836112,0.08362108,-0.556192,1
0.82264525,-0.11148303,1.0978168,-0.23938687,0.0013398468,1.4729536,-2.4508722,-1.4176842,-1.1870704,-0.36326066,-0.25460818,-1.5073256,1
-0.078461476,0.5627158,-0.24457067,0.7017564,0.053155348,8.439309e-05,-0.72155803,0.31649426,-0.0972866,2.0931683,1.573355,0.38584656,0
1.1786976,-1.4368571,-0.64527786,1.1273376,0.43476608,-0.37615606,-0.13382296,-1.3748958,-0.23817374,-0.2663875,0.2321699,-0.55532724,0
-0.48239702,2.7598443,0.7268435,-1.0822854,0.91593033,-0.10914515,-0.25288144,0.56227285,-1.2918823,0.35262722,1.9129548,0.46617767,1
-0.7066379,-0.49076253,-1.0547878,0.7960722,-0.45498347,-1.2256057,-1.2779375,0.17258792,1.5790913,0.1599916,-0.11863833,0.28582615,0
0.00744218,0.9122125,-1.4712181,1.5123175,0.60265243,-0.18249984,0.5755465,-1.4098195,1.1825308,-0.32398477,-0.20406951,-0.49165562,1
-0.253582,1.5850734,-0.48709416,0.042916782,-0.7535276,-1.0322627,-1.2444718,-0.88879734,-0.07068038,0.33429512,0.05114206,-0.7655353,0
-0.7025225,-0.066606134,0.59982425,-0.7085361,-0.12500903,1.4814556,-0.7435882,-0.82225,0.2023062,0.8443852,0.011426056,1.3289605,0
-1.4032433,-0.73738337,-1.863442,-0.24070701,0.315605,1.2058536,-0.72908384,-0.65414643,-2.147289,-0.16266592,-1.0624144,-0.52943945,0
0.88987535,0.7660479,0.80982846,0.26613468,-2.1079533,-0.36443827,-2.18021,0.036059927,-0.004632972,1.0455322,1.1876343,0.20277505,1
-2.5430603,-1.7464724,-1.8821853,-1.9836161,-0.67826444,0.7494339,-0.28488407,0.19779009,1.0892175,1.3276862,-0.06913794,1.3535858,0
